2_36	1_68	24.031	129	93	2	342	468	159	284	5.63e-06	42.7
2_36	1_288	26.316	209	130	8	195	390	146	343	8.51e-05	39.7
2_36	1_365	29.293	99	68	2	223	319	148	246	1.87e-04	37.7
2_37	1_430	30.720	625	383	15	12	607	196	799	2.97e-78	265
2_37	1_431	30.080	625	387	15	12	607	202	805	3.86e-76	257
2_38	1_91	37.805	246	143	5	986	1224	60	302	5.22e-42	152
2_38	1_300	35.547	256	134	8	988	1222	968	1213	4.14e-40	157
2_38	1_70	37.255	255	134	9	984	1221	178	423	4.39e-38	144
2_38	1_369	29.825	228	131	10	1012	1218	201	420	3.27e-21	93.6
2_40	1_151	84.252	254	40	0	1	254	55	308	8.01e-167	458
2_40	1_123	31.111	90	54	3	6	87	14	103	3.62e-06	41.6
2_41	1_107	72.917	192	52	0	1	192	3	194	1.31e-103	292
2_42	1_410	73.643	258	68	0	24	281	6	263	7.73e-139	387
2_43	1_190	92.212	642	47	2	1	641	1	640	0.0	1219
2_43	1_96	91.486	646	50	2	1	641	1	646	0.0	1210
2_44	1_259	70.656	610	172	6	1	608	1	605	0.0	885
2_45	1_61	85.772	984	140	0	1	984	1	984	0.0	1763
2_46	1_367	83.642	324	53	0	1	324	1	324	0.0	578
2_47	1_409	31.280	211	121	5	23	228	1	192	3.95e-27	100
2_47	1_202	30.332	211	123	5	23	228	1	192	1.17e-24	94.0
2_47	1_192	34.848	66	43	0	17	82	336	401	1.60e-07	46.2
2_47	1_161	26.804	97	70	1	2	98	184	279	9.62e-06	40.4
2_47	1_161	27.381	84	47	4	1	78	1	76	2.51e-04	36.2
2_47	1_133	30.882	68	44	3	13	80	22	86	8.45e-04	34.7
2_48	1_294	88.115	244	29	0	4	247	3	246	5.54e-165	451
2_49	1_406	94.340	424	24	0	1	424	1	424	0.0	820
2_50	1_97	41.176	170	89	4	1	162	14	180	1.97e-36	119
2_51	1_430	30.052	762	511	12	10	756	53	807	1.89e-96	320
2_51	1_431	29.358	763	515	13	10	756	59	813	5.61e-92	305
2_52	1_83	51.414	389	165	6	27	406	14	387	1.84e-126	365
2_52	1_127	33.333	375	225	6	31	401	43	396	1.41e-61	199
2_52	1_204	30.240	334	208	3	65	398	1	309	1.21e-51	171
2_52	1_311	32.636	239	154	4	166	399	5	241	4.31e-36	128
2_54	1_22	72.059	340	57	10	1	330	1	312	1.59e-154	431
2_54	1_36	36.449	107	56	2	26	132	43	137	8.87e-14	64.3
